id;lat;lon;utm_x_m;utm_y_m;depth_m;elev_m;year;month;day;hour;minute;second;rms_error;ml_mag;mw_mag;remarks
2807;-1.647044581;101.1468849;738852.679;9817822.917;521.875;-521.875;2023;1;20;19;32;59.182019;0.0322908;0.385;0.133;
2808;-1.647800653;101.131979;737193.452;9817741.071;869.886;-869.886;2023;1;20;19;33;9.779942;0.0206773;-0.188;-0.02;
2809;-1.644015996;101.1482854;739008.929;9818157.738;1409.659;-1409.659;2023;1;20;19;33;34.572141;0.0199506;-0.223;-0.19;
2810;-1.643210223;101.1469476;738860.119;9818247.024;1466.477;-1466.477;2023;1;20;19;33;48.015996;0.0101459;-0.702;-0.546;
2811;-1.647121475;101.1379944;737863.095;9817815.476;1253.409;-1253.409;2023;1;20;19;33;54.105034;0.0104765;-0.636;-0.408;
2812;-1.65198212;101.1219564;736077.381;9817279.762;-451.136;451.136;2023;1;20;19;34;15.597533;0.0399654;-0.259;-0.177;
2813;-1.641794627;101.1496868;739165.179;9818403.274;1288.92;-1288.92;2023;1;20;19;34;33.080185;0.0129708;-0.622;-0.476;
2814;-1.645902109;101.145881;738741.071;9817949.405;1381.25;-1381.25;2023;1;20;19;34;48.21029;0.00900999;-0.218;-0.144;
2815;-1.645707319;101.1393967;738019.345;9817971.726;834.375;-834.375;2023;1;20;19;34;58.022479;0.0303391;0.272;0.098;
2816;-1.640255325;101.1423989;738354.167;9818574.405;1750.568;-1750.568;2023;1;20;19;35;21.137809;0.0200756;-0.231;-0.16;
2817;-1.644832469;101.13973;738056.548;9818068.452;926.705;-926.705;2023;1;20;19;35;48.304765;0.0256404;-0.235;-0.115;
2818;-1.644821478;101.1498906;739187.5;9818068.452;528.977;-528.977;2023;1;20;19;36;32.513975;0.0273269;1.136;0.697;
2819;-1.639716312;101.1432005;738443.452;9818633.929;1608.523;-1608.523;2023;1;20;19;36;50.922601;0.0154672;-0.397;-0.313;
2820;-1.640053596;101.1423319;738346.726;9818596.726;1317.33;-1317.33;2023;1;20;19;43;50.401926;0.0270113;0.337;0.209;
2821;-1.6388465;101.1388546;737959.821;9818730.655;1487.784;-1487.784;2023;1;20;19;43;55.021199;0.0227901;-0.088;-0.013;
2822;-1.645026538;101.1468827;738852.679;9818046.131;976.42;-976.42;2023;1;20;19;49;56.519959;0.0316176;0.346;0.192;
2823;-1.639785961;101.1409947;738197.917;9818626.488;1658.239;-1658.239;2023;1;20;19;53;30.780105;0.0124741;-0.508;-0.295;
2824;-1.642405603;101.1445403;738592.262;9818336.31;1352.841;-1352.841;2023;1;20;19;57;15.230064;0.0157562;-0.645;-0.632;
2825;-1.638907369;101.144804;738622.024;9818723.214;1466.477;-1466.477;2023;1;20;19;57;23.613116;0.0436855;0.023;0.043;
