id,lat,lon,utm_x_m,utm_y_m,depth_m,elev_m,year,month,day,hour,minute,second,dt_origin,rms_error,ml_mag,mw_mag,remarks
2803,-1.6430514,101.1573242,740015.1394,9818263.347,980.68,-980.68,2023,1,20,19,32,3.8399999,2023-01-20 19:32:03.840000,0.0137497,-0.709,-0.587,WCC
2804,-1.6403445,101.1536377,739605.1225,9818563.198,1162.88,-1162.88,2023,1,20,19,32,9.04,2023-01-20 19:32:09.040000,0.0091272,-0.794,-0.488,WCC
2805,-1.6465557,101.1454834,738696.7423,9817877.16,899.9,-899.9,2023,1,20,19,32,20.8600006,2023-01-20 19:32:20.860000,0.0139822,0.455,0.263,WCC
2806,-1.64849,101.1483968,739020.7959,9817662.859,589.51,-589.51,2023,1,20,19,32,52.8199997,2023-01-20 19:32:52.820000,0.0154835,0.041,-0.093,WCC
2807,-1.6473429,101.1470866,738875.0972,9817789.896,779.84,-779.84,2023,1,20,19,32,59.1599998,2023-01-20 19:32:59.160000,0.0149488,0.385,0.133,WCC
2808,-1.6461848,101.1461751,738773.7781,9817918.102,1179.54,-1179.54,2023,1,20,19,33,9.7600002,2023-01-20 19:33:09.760000,0.011542,-0.188,-0.02,WCC
2809,-1.6444642,101.1496094,739156.2481,9818108.004,1219.69,-1219.69,2023,1,20,19,33,34.5600014,2023-01-20 19:33:34.560000,0.010301,-0.223,-0.19,WCC
2810,-1.6449415,101.150887,739298.3985,9818055.057,1236.76,-1236.76,2023,1,20,19,33,47.9599991,2023-01-20 19:33:47.960000,0.0091535,-0.702,-0.546,WCC
2811,-1.6486871,101.140804,738175.6363,9817641.969,1109.14,-1109.14,2023,1,20,19,33,54.0600014,2023-01-20 19:33:54.060000,0.0123341,-0.636,-0.408,WCC
2812,-1.6475333,101.1352295,737555.2918,9817770.255,1046.47,-1046.47,2023,1,20,19,34,15.5600004,2023-01-20 19:34:15.560000,0.0115356,-0.259,-0.177,WCC
2813,-1.6424661,101.1522624,739451.7871,9818328.694,1034.99,-1034.99,2023,1,20,19,34,33.0800018,2023-01-20 19:34:33.080000,0.0107936,-0.622,-0.476,WCC
2814,-1.6466595,101.1440267,738534.588,9817865.853,1291.0,-1291.0,2023,1,20,19,34,48.1599998,2023-01-20 19:34:48.160000,0.0089713,-0.218,-0.144,WCC
2815,-1.6473979,101.1455485,738703.8881,9817783.997,944.32,-944.32,2023,1,20,19,34,58.0,2023-01-20 19:34:58.000000,0.0135734,0.272,0.098,WCC
2816,-1.6458753,101.1422282,738334.4946,9817952.808,1354.85,-1354.85,2023,1,20,19,35,21.0799999,2023-01-20 19:35:21.080000,0.0120128,-0.231,-0.16,WCC
2817,-1.6459296,101.1447591,738616.1966,9817946.499,1009.52,-1009.52,2023,1,20,19,35,48.2999992,2023-01-20 19:35:48.300000,0.0155463,-0.235,-0.115,WCC
2818,-1.6464383,101.1487793,739063.6159,9817889.75,748.9,-748.9,2023,1,20,19,36,32.5200005,2023-01-20 19:36:32.520000,0.0157193,1.136,0.697,WCC
2819,-1.6455161,101.144458,738582.7311,9817992.271,1336.82,-1336.82,2023,1,20,19,36,50.8800011,2023-01-20 19:36:50.880000,0.014772,-0.397,-0.313,WCC
2820,-1.6433022,101.1477295,738947.1383,9818236.757,1208.51,-1208.51,2023,1,20,19,43,50.4000015,2023-01-20 19:43:50.400000,0.0127374,0.337,0.209,WCC
2821,-1.6438203,101.1405192,738144.514,9818180.312,1258.12,-1258.12,2023,1,20,19,43,55.0400009,2023-01-20 19:43:55.040000,0.0145074,-0.088,-0.013,WCC
2822,-1.6455811,101.1477132,738945.0527,9817984.692,999.13,-999.13,2023,1,20,19,49,56.5200005,2023-01-20 19:49:56.520000,0.0137594,0.346,0.192,WCC
2823,-1.6441575,101.1489176,739079.2816,9818142.011,1202.65,-1202.65,2023,1,20,19,53,30.7600002,2023-01-20 19:53:30.760000,0.0096161,-0.508,-0.295,WCC
2824,-1.6461001,101.1474935,738920.5365,9817927.312,1014.21,-1014.21,2023,1,20,19,57,15.2399998,2023-01-20 19:57:15.240000,0.0128385,-0.645,-0.632,WCC
2825,-1.6438958,101.1460775,738763.1868,9818171.297,1234.94,-1234.94,2023,1,20,19,57,23.6000004,2023-01-20 19:57:23.600000,0.0131499,0.023,0.043,WCC
2826,-1.636043,101.157666,740054.0204,9819038.503,1246.74,-1246.74,2023,1,20,20,23,4.6199999,2023-01-20 20:23:04.620000,0.0055445,-0.315,-0.141,WCC
2827,-1.6373241,101.1468994,738855.451,9818898.088,1459.16,-1459.16,2023,1,21,1,56,37.2599983,2023-01-21 01:56:37.260000,0.0131898,-0.199,-0.239,WCC
2828,-1.6440533,101.150236,739226.0427,9818153.378,1268.37,-1268.37,2023,1,30,17,30,4.7199998,2023-01-30 17:30:04.720000,0.0126558,-0.435,-0.325,WCC
2829,-1.6462004,101.1435791,738484.8214,9817916.687,1302.46,-1302.46,2023,1,30,17,30,40.7200012,2023-01-30 17:30:40.720000,0.0130181,-0.045,-0.061,WCC
2830,-1.6509973,101.1224202,736129.125,9817388.635,-48.07,48.07,2023,2,18,22,35,10.6400003,2023-02-18 22:35:10.640000,0.0074019,-0.145,-0.379,WCC
2831,-1.6425926,101.147054,738872.034,9818315.326,972.92,-972.92,2023,2,18,22,38,26.0799999,2023-02-18 22:38:26.080000,0.0145729,-0.499,-0.39,WCC
2832,-1.6520785,101.1231283,736207.8129,9817268.962,-911.06,911.06,2023,2,18,22,38,33.3199997,2023-02-18 22:38:33.320000,0.0032886,-0.007,-0.458,WCC
2833,-1.6458534,101.1381755,737883.4017,9817955.714,1052.98,-1052.98,2023,2,18,22,39,5.52,2023-02-18 22:39:05.520000,0.0121466,0.16,-0.01,WCC
2834,-1.6494537,101.153833,739625.7733,9817555.611,433.25,-433.25,2023,2,26,15,14,57.6899986,2023-02-26 15:14:57.690000,0.0089688,-0.666,-0.303,WCC
2835,-1.6479394,101.1318359,737177.5128,9817725.741,811.67,-811.67,2023,2,27,22,34,11.8599997,2023-02-27 22:34:11.860000,0.0102194,-0.271,-0.225,WCC
2836,-1.6502707,101.1356201,737598.4434,9817467.429,706.63,-706.63,2023,2,27,22,34,17.8799992,2023-02-27 22:34:17.880000,0.0171028,-0.386,-0.313,WCC
2837,-1.6535851,101.1322266,737220.3306,9817101.236,-382.68,382.68,2023,2,27,22,34,39.3600006,2023-02-27 22:34:39.360000,0.0009268,-0.501,-0.576,WCC
2838,-1.6518286,101.1377441,737834.6739,9817294.859,329.97,-329.97,2023,2,27,22,34,42.2000008,2023-02-27 22:34:42.200000,0.0090503,0.069,-0.055,WCC
2839,-1.643089,101.1428223,738400.9534,9818260.925,950.59,-950.59,2023,3,8,4,53,44.1100006,2023-03-08 04:53:44.110000,0.0134938,0.169,-0.009,WCC
2840,-1.6429864,101.1427327,738390.9924,9818272.285,1227.8,-1227.8,2023,3,12,23,29,24.1399994,2023-03-12 23:29:24.140000,0.0124357,-0.098,-0.124,WCC
2841,-1.6448832,101.145459,738694.2254,9818062.156,1071.94,-1071.94,2023,3,19,14,58,26.8299999,2023-03-19 14:58:26.830000,0.0128037,0.339,-0.098,WCC
2842,-1.6465192,101.1460286,738757.4317,9817881.132,738.77,-738.77,2023,3,19,14,58,27.4200001,2023-03-19 14:58:27.420000,0.0129264,0.359,0.156,WCC
2843,-1.6430906,101.1453857,738686.2797,9818260.442,1242.37,-1242.37,2023,3,19,14,58,41.4199982,2023-03-19 14:58:41.420000,0.0108885,-0.112,-0.051,WCC
2844,-1.6463468,101.1450602,738649.6618,9817900.317,1038.36,-1038.36,2023,3,19,14,59,5.1300001,2023-03-19 14:59:05.130000,0.0142419,-0.241,-0.124,WCC
2845,-1.6444956,101.1298665,736958.7126,9818106.887,649.75,-649.75,2023,3,19,15,0,56.4199982,2023-03-19 15:00:56.420000,0.0099276,-0.457,-0.468,WCC
2846,-1.6465483,101.1498535,739183.1699,9817877.454,504.08,-504.08,2023,3,19,15,7,48.6500015,2023-03-19 15:07:48.650000,0.0157269,0.271,0.162,WCC
2847,-1.6447744,101.1447103,738610.9022,9818074.28,1086.51,-1086.51,2023,3,19,15,8,6.1500001,2023-03-19 15:08:06.150000,0.0137948,0.136,0.091,WCC
2848,-1.6461273,101.1532064,739556.4254,9817923.618,273.04,-273.04,2023,3,19,15,8,45.6399994,2023-03-19 15:08:45.640000,0.0157049,0.001,-0.088,WCC
2849,-1.6443895,101.1451497,738659.8566,9818116.801,1027.05,-1027.05,2023,3,19,15,10,1.85,2023-03-19 15:10:01.850000,0.0145202,0.217,0.104,WCC
2850,-1.6440328,101.1416829,738274.0174,9818156.669,1344.02,-1344.02,2023,3,19,15,10,17.0499992,2023-03-19 15:10:17.050000,0.0108063,-0.51,-0.392,WCC
2851,-1.6457603,101.1448405,738625.2772,9817965.215,1170.02,-1170.02,2023,3,19,15,10,42.4900017,2023-03-19 15:10:42.490000,0.0166813,-0.563,-0.356,WCC
2852,-1.6426047,101.1494629,739140.1628,9818313.699,1637.71,-1637.71,2023,3,19,15,12,7.8800001,2023-03-19 15:12:07.880000,0.0093981,-0.463,-0.268,WCC
2853,-1.6427212,101.1574626,740030.5839,9818299.853,746.8,-746.8,2023,3,19,15,12,41.6199989,2023-03-19 15:12:41.620000,0.0117365,-0.264,-0.271,WCC
2854,-1.6429773,101.149821,739179.978,9818272.443,1036.65,-1036.65,2023,3,19,15,13,3.02,2023-03-19 15:13:03.020000,0.0143673,-0.417,-0.196,WCC
2855,-1.6454624,101.1302572,737002.0859,9817999.905,1202.21,-1202.21,2023,3,19,15,13,29.1700001,2023-03-19 15:13:29.170000,0.0083385,-0.476,-0.281,WCC
2856,-1.63902,101.1432454,738448.53,9818710.942,1519.71,-1519.71,2023,3,19,15,14,14.6700001,2023-03-19 15:14:14.670000,0.0152733,-0.339,-0.531,WCC
2857,-1.6441029,101.1386475,737936.1463,9818149.278,1068.66,-1068.66,2023,3,19,15,14,23.7800007,2023-03-19 15:14:23.780000,0.0104776,-0.493,-0.335,WCC
2858,-1.6450957,101.1398437,738069.1745,9818039.323,1228.15,-1228.15,2023,3,19,15,17,0.78,2023-03-19 15:17:00.780000,0.018657,-0.156,-0.257,WCC
2859,-1.6472614,101.1489909,739087.0705,9817798.682,420.91,-420.91,2023,3,19,15,17,15.3400001,2023-03-19 15:17:15.340000,0.0148106,0.477,0.159,WCC
2860,-1.6448658,101.1460612,738761.2571,9818064.008,750.33,-750.33,2023,3,19,15,17,23.3299999,2023-03-19 15:17:23.330000,0.016911,-0.054,-0.226,WCC
2861,-1.6427546,101.1354004,737574.8799,9818298.798,1347.8,-1347.8,2023,3,19,15,17,27.5200005,2023-03-19 15:17:27.520000,0.006404,-0.095,-0.215,WCC
2862,-1.6468347,101.1502848,739231.1429,9817845.724,313.08,-313.08,2023,3,19,15,17,37.0,2023-03-19 15:17:37.000000,0.0145054,-0.031,-0.207,WCC
2863,-1.6436412,101.145752,738726.9863,9818199.497,1376.16,-1376.16,2023,3,30,10,37,55.2900009,2023-03-30 10:37:55.290000,0.0108214,0.26,0.225,WCC
2864,-1.6444775,101.1501546,739216.9317,9818106.467,1158.3,-1158.3,2023,3,30,10,38,31.4400005,2023-03-30 10:38:31.440000,0.0096264,-0.055,-0.044,WCC
2865,-1.6449898,101.1454915,738697.8303,9818050.361,1323.78,-1323.78,2023,3,30,10,38,50.9000015,2023-03-30 10:38:50.900000,0.0161731,-0.167,-0.017,WCC
2866,-1.6457316,101.1450277,738646.1175,9817968.367,1188.13,-1188.13,2023,3,30,10,38,55.6599998,2023-03-30 10:38:55.660000,0.0092184,-0.276,-0.186,WCC
2867,-1.6485723,101.1480713,738984.5553,9817653.795,727.5,-727.5,2023,3,30,10,39,41.9599991,2023-03-30 10:39:41.960000,0.0119777,-0.043,-0.06,WCC
2868,-1.6419237,101.1408285,738179.1662,9818390.056,1369.04,-1369.04,2023,3,30,10,39,48.9700012,2023-03-30 10:39:48.970000,0.0036875,-0.43,-0.296,WCC
2869,-1.646264,101.1457194,738723.0457,9817909.396,993.58,-993.58,2023,3,30,10,40,7.6300001,2023-03-30 10:40:07.630000,0.0160376,0.735,0.443,WCC
2870,-1.64485,101.1441488,738548.3939,9818065.985,971.74,-971.74,2023,3,30,10,40,14.5100002,2023-03-30 10:40:14.510000,0.0131539,1.053,0.689,WCC
2871,-1.6447441,101.1388672,737960.5245,9818078.329,1212.23,-1212.23,2023,3,30,10,40,28.8299999,2023-03-30 10:40:28.830000,0.0105113,0.49,0.301,WCC
